iyear,imonth,iday,country_txt,provstate,city,latitude,longitude,nkill,location,summary
1994,1,0,United States,Montana (U.S. State),Helena,46.58976,-112.021204,0,Trees next to clinic.,"1/0/1994: John Casserly set trees on fire that were located outside of the Intermountain Planned Parenthood in Helena, Montana, United States.  The fire did not spread to the abortion facility, but some evergreen trees were damaged."
1994,1,6,United States,New York (U.S. State),New York City,40.71455,-74.007124,0,Manhattan,"1/6/1994: In a series of two related incidents, a group identifying itself as the Maccabee Squad and Shield of David placed a crudely constructed bomb outside of an office building housing many left-wing Jewish organizations in Manhattan, New York, United States.  The bomb failed to detonate due to a faulty timer.  It was subsequently discovered and disarmed by the police."
1994,1,6,United States,New York (U.S. State),New York City,40.71455,-74.007124,0,Manhattan,"1/6/1994: In a series of two related incidents, a group identifying itself as the Maccabee Squad and Shield of David placed a crudely constructed bomb outside of an office building housing the New Israel Fund in Manhattan, New York, United States.  The bomb failed to detonate due to a faulty timer.  It was subsequently discovered and disarmed by the police."
1994,1,25,United States,Iowa (U.S. State),Ames,42.025345,-93.620199,0,Next to Ames Mall,"1/25/1994: Two members of the Aryan Republican Army robbed the FirstStar Bank in Ames, Iowa, United States.  The perpetrators left a fake bomb behind before leaving.  $11,000 was stolen."
1994,1,27,United States,California (U.S. State),San Diego,32.715695,-117.161719,0,at San Diego Meat Company at 17th & C Streets in San Diego,"01/27/1994: Members of a group called the Farm Animal Revenge Militia (FARM) used flammable liquid to set fire to two refrigerated trucks owned by the San Diego Meat Company in San Diego, California in the United States.  Additionally, they spray painted ""Meat is murder"" and the acronym ""F.A.R.M."" on the company building.  The arson caused $40,000 in loss and damage.  Less than half an hour after the fire was set, a man claiming to represent FARM called television station KUSI and claimed to have started the blaze.  There were no casualties in the incident. This incident is related to a similar incident of arson, by the same perpetrators, just three days later at San Diego Meat Company (13094)."
1994,1,30,United States,California (U.S. State),San Diego,32.715695,-117.161719,0,at San Diego Meat Company at 17th & C Streets in San Diego,"01/30/1994: Members of the Farm Animal Revenge Militia (FARM) used flammable liquid to set fire to two rooms of the San Diego Meat Company in San Diego, California in the United States.  Additionally, they spray painted ""Meat is murder"" and the acronym ""F.A.R.M. on the company building, similar to the incident at the company just three days earlier (12794).  The arson caused $60,000 in damage to the building and $15,000 to its contents for a total of $75,000 in damage.  There were no casualties in the incident."
1994,2,15,United States,Iowa (U.S. State),Davenport,41.53826,-90.576404,0,In a shopping plaza,"2/15/1994: Two members of the Aryan Republican Army robbed the Brenton First National Bank in Davenport, Iowa, United States.  The perpetrators left a fake bomb behind before leaving.  $4,400 was stolen."
1994,3,4,United States,Wisconsin (U.S. State),Green Bay,44.512795,-88.010159,0,,"3/4/1994: Two members of the Aryan Republican Army robbed the Associated Bank in Green Bay, Wisconsin, United States.  It is unknown how much money was stolen."
1994,6,8,United States,Ohio (U.S. State),Springdale,39.291087,-84.482954,0,,"6/8/1994: Two members of the Aryan Republican Army robbed the Society National Bank in Springdale, Ohio, United States.  $11,890 was stolen but the money was attached to a dye pack used by the bank as a security device.  While the robbers were driving away, the dye pack exploded rendering the money useless."
1994,7,27,United States,Washington (U.S. State),Scott Lake,46.919086,-122.939912,0,"at Dave Littlejohn Logging Company east of Olympia, Washington","7/27/1994: Earth First! members claimed responsibility for setting arson to logging equipment at Dave Littlejohn Logging Company near Olympia, Washington in the United States.  The arson destroyed a log loader.  There were no casualties in the incident.  This incident was one in a  series of two; the second arson occurred four days later at the same logging company, damaging more equipment.  Nine days later, both incidents were claimed in a phone call to the contract logging association, stating that the destruction was ""retaliation by the Earth Firsters to protect the planet Earth from loggers."""
1994,7,31,United States,Washington (U.S. State),Scott Lake,46.919086,-122.939912,0,"at Dave Littlejohn Logging Company east of Olympia, Washington","07/31/1994: Earth First! members claimed responsibility for setting arson to logging equipment at Dave Littlejohn Logging Company near Olympia, Washington in the United States.  The arson caused damage to a log skidder, a bulldozer and two fire prevention trucks .  There were no casualties in the incident.  This incident was one in a  series of two; the first arson occurred four days earlier at the same logging company, damaging more equipment.  Nine days later, both incidents were claimed in a phone call to the contract logging association, stating that the destruction was ""retaliation by the Earth Firsters to protect the planet Earth from loggers."""
1994,8,9,United States,Vermont (U.S. State),St. Albans,44.81302,-73.083034,0,Bomb placed on driveway of clinic,"8/9/1994: Helen Virginia Ames placed a bomb outside of the Planned Parenthood of Northern New England in St. Albans, Vermont, United States.  The bomb was discovered by staff at the health care facility before the clinic opened for the day.  The device was safely removed from the scene."
1994,8,10,United States,Minnesota (U.S. State),Brainerd,46.353165,-94.200689,0,Fire ignited in the waiting room of the facility.,"8/10/1994: Unknown perpetrators ignited a fire within the Planned Parenthood Brainerd Clinic in Brainerd, Minnesota, United States.  There were no casualties, but the health care facility along with three adjacent businesses were destroyed resulting in $373,000 in damages."
1994,9,21,United States,Kansas (U.S. State),Overland Park,38.984895,-94.671684,0,,"9/21/1994: Two members of the Aryan Republican Army robbed the Boatman's Bank in Overland Park, Kansas, United States.    $13,000 was stolen."
1994,10,9,United States,California (U.S. State),Redding,40.587515,-122.392934,0,,"10/9/1994: In a series of related attacks, Richard Thomas Andrews ignited a fire at the Redding Feminist Woman's Health Center in Redding, California, United States.  There were no casualties, but the abortion clinic sustained $4,000 in damages."
1994,10,9,United States,California (U.S. State),Chico,39.73201,-121.841985,0,,"10/9/1994: In a series of related attacks, Richard Thomas Andrews ignited a fire at the Planned Parenthood of Shasta-Diablo clinic in Chico California, United States.  There were no casualties, but the abortion clinic sustained $35,000 in damages."
1994,10,11,United States,Montana (U.S. State),Kalispell,48.20164,-114.314901,0,,"10/11/1994:  Richard Thomas Andrews set two fires within the offices of Dr. James Armstrong in Kalispell, Montana, United States.  There were no casualties, but the office sustained an estimated $75,000 in damages.  Dr. Armstrong was the only physician who performed abortions in the area."
